"abs","bigint","bigint","scalar","true","Absolute value"
"abs","decimal(p,s)","decimal(p,s)","scalar","true","Absolute value"
"abs","double","double","scalar","true","Absolute value"
"abs","integer","integer","scalar","true","Absolute value"
"abs","real","real","scalar","true","Absolute value"
"abs","smallint","smallint","scalar","true","Absolute value"
"abs","tinyint","tinyint","scalar","true","Absolute value"
"acos","double","double","scalar","true","Arc cosine"
"all_match","boolean","array(t), function(t,boolean)","scalar","true","Returns true if all elements of the array match the given predicate"
"any_match","boolean","array(t), function(t,boolean)","scalar","true","Returns true if the array contains one or more elements that match the given predicate"
"approx_distinct","bigint","boolean","aggregate","true",""
"approx_distinct","bigint","boolean, double","aggregate","true",""
"approx_distinct","bigint","t","aggregate","true",""
"approx_distinct","bigint","t, double","aggregate","true",""
"approx_distinct","bigint","unknown","aggregate","true",""
"approx_distinct","bigint","unknown, double","aggregate","true",""
"approx_most_frequent","map(bigint,bigint)","bigint, bigint, bigint","aggregate","true",""
"approx_most_frequent","map(varchar,bigint)","bigint, varchar, bigint","aggregate","true",""
"approx_percentile","array(bigint)","bigint, array(double)","aggregate","true",""
"approx_percentile","array(bigint)","bigint, double, array(double)","aggregate","true",""
"approx_percentile","array(double)","double, array(double)","aggregate","true",""
"approx_percentile","array(double)","double, double, array(double)","aggregate","true",""
"approx_percentile","array(real)","real, array(double)","aggregate","true",""
"approx_percentile","array(real)","real, double, array(double)","aggregate","true",""
"approx_percentile","bigint","bigint, double","aggregate","true",""
"approx_percentile","bigint","bigint, double, double","aggregate","true",""
"approx_percentile","bigint","bigint, double, double, double","aggregate","true",""
"approx_percentile","double","double, double","aggregate","true",""
"approx_percentile","double","double, double, double","aggregate","true",""
"approx_percentile","double","double, double, double, double","aggregate","true",""
"approx_percentile","real","real, double","aggregate","true",""
"approx_percentile","real","real, double, double","aggregate","true",""
"approx_percentile","real","real, double, double, double","aggregate","true",""
"approx_set","hyperloglog","bigint","aggregate","true",""
"approx_set","hyperloglog","double","aggregate","true",""
"approx_set","hyperloglog","varchar(x)","aggregate","true",""
"arbitrary","t","t","aggregate","true","Return an arbitrary non-null input value"
"array_agg","array(t)","t","aggregate","true","return an array of values"
"array_distinct","array(e)","array(e)","scalar","true","Remove duplicate values from the given array"
"array_except","array(e)","array(e), array(e)","scalar","true","Returns an array of elements that are in the first array but not the second, without duplicates."
"array_intersect","array(e)","array(e), array(e)","scalar","true","Intersects elements of the two given arrays"
"array_join","varchar","array(T), varchar","scalar","true","Concatenates the elements of the given array using a delimiter and an optional string to replace nulls"
"array_join","varchar","array(T), varchar, varchar","scalar","true","Concatenates the elements of the given array using a delimiter and an optional string to replace nulls"
"array_max","t","array(t)","scalar","true","Get maximum value of array"
"array_min","t","array(t)","scalar","true","Get minimum value of array"
"array_position","bigint","array(t), t","scalar","true","Returns the position of the first occurrence of the given value in array (or 0 if not found)"
"array_remove","array(e)","array(e), e","scalar","true","Remove specified values from the given array"
"array_sort","array(e)","array(e)","scalar","true","Sorts the given array in ascending order according to the natural ordering of its elements."
"array_sort","array(t)","array(t), function(t,t,integer)","scalar","true","Sorts the given array with a lambda comparator."
"array_union","array(e)","array(e), array(e)","scalar","true","Union elements of the two given arrays"
"arrays_overlap","boolean","array(e), array(e)","scalar","true","Returns true if arrays have common elements"
"asin","double","double","scalar","true","Arc sine"
"at_timezone","timestamp(p) with time zone","timestamp(p) with time zone, varchar(x)","scalar","true",""
"atan","double","double","scalar","true","Arc tangent"
"atan2","double","double, double","scalar","true","Arc tangent of given fraction"
"avg","decimal(p,s)","decimal(p,s)","aggregate","true","Calculates the average value"
"avg","double","bigint","aggregate","true",""
"avg","double","double","aggregate","true",""
"avg","interval day to second","interval day to second","aggregate","true",""
"avg","interval year to month","interval year to month","aggregate","true",""
"avg","real","real","aggregate","true","Returns the average value of the argument"
"bar","varchar","double, bigint","scalar","true",""
"bar","varchar","double, bigint, color, color","scalar","true",""
"beta_cdf","double","double, double, double","scalar","true","Beta cdf given the a, b parameters and value"
"bing_tile","bingtile","integer, integer, integer","scalar","true","Creates a Bing tile from XY coordinates and zoom level"
"bing_tile","bingtile","varchar","scalar","true","Creates a Bing tile from a QuadKey"
"bing_tile_at","bingtile","double, double, integer","scalar","true","Given a (latitude, longitude) point, returns the containing Bing tile at the specified zoom level"
"bing_tile_coordinates","row(""x"" integer,""y"" integer)","bingtile","scalar","true","Given a Bing tile, returns XY coordinates of the tile"
"bing_tile_polygon","geometry","bingtile","scalar","true","Given a Bing tile, returns the polygon representation of the tile"
"bing_tile_quadkey","varchar","bingtile","scalar","true","Given a Bing tile, returns its QuadKey"
"bing_tile_zoom_level","tinyint","bingtile","scalar","true","Given a Bing tile, returns zoom level of the tile"
"bing_tiles_around","array(bingtile)","double, double, integer","scalar","true","Given a (longitude, latitude) point, returns the surrounding Bing tiles at the specified zoom level"
"bing_tiles_around","array(bingtile)","double, double, integer, double","scalar","true","Given a (latitude, longitude) point, a radius in kilometers and a zoom level, returns a minimum set of Bing tiles at specified zoom level that cover a circle of specified radius around the specified point."
"bit_count","bigint","bigint, bigint","scalar","true","Count number of set bits in 2's complement representation"
"bitwise_and","bigint","bigint, bigint","scalar","true","Bitwise AND in 2's complement arithmetic"
"bitwise_and_agg","bigint","bigint","aggregate","true",""
"bitwise_left_shift","bigint","bigint, integer","scalar","true","bitwise left shift"
"bitwise_left_shift","integer","integer, integer","scalar","true","bitwise left shift"
"bitwise_left_shift","smallint","smallint, integer","scalar","true","bitwise left shift"
"bitwise_left_shift","tinyint","tinyint, integer","scalar","true","bitwise left shift"
"bitwise_not","bigint","bigint","scalar","true","Bitwise NOT in 2's complement arithmetic"
"bitwise_or","bigint","bigint, bigint","scalar","true","Bitwise OR in 2's complement arithmetic"
"bitwise_or_agg","bigint","bigint","aggregate","true",""
"bitwise_right_shift","bigint","bigint, integer","scalar","true","bitwise logical right shift"
"bitwise_right_shift","integer","integer, integer","scalar","true","bitwise logical right shift"
"bitwise_right_shift","smallint","smallint, integer","scalar","true","bitwise logical right shift"
"bitwise_right_shift","tinyint","tinyint, integer","scalar","true","bitwise logical right shift"
"bitwise_right_shift_arithmetic","bigint","bigint, integer","scalar","true","bitwise arithmetic right shift"
"bitwise_right_shift_arithmetic","integer","integer, integer","scalar","true","bitwise arithmetic right shift"
"bitwise_right_shift_arithmetic","smallint","smallint, integer","scalar","true","bitwise arithmetic right shift"
"bitwise_right_shift_arithmetic","tinyint","tinyint, integer","scalar","true","bitwise arithmetic right shift"
"bitwise_xor","bigint","bigint, bigint","scalar","true","Bitwise XOR in 2's complement arithmetic"
"bool_and","boolean","boolean","aggregate","true",""
"bool_or","boolean","boolean","aggregate","true",""
"cardinality","bigint","array(e)","scalar","true","Returns the cardinality (length) of the array"
"cardinality","bigint","hyperloglog","scalar","true","Compute the cardinality of a HyperLogLog instance"
"cardinality","bigint","map(k,v)","scalar","true","Returns the cardinality (the number of key-value pairs) of the map"
"cardinality","bigint","setdigest","scalar","true",""
"cbrt","double","double","scalar","true","Cube root"
"ceil","bigint","bigint","scalar","true","Round up to nearest integer"
"ceil","decimal(rp,0)","decimal(p,s)","scalar","true","Round up to nearest integer"
"ceil","double","double","scalar","true","Round up to nearest integer"
"ceil","integer","integer","scalar","true","Round up to nearest integer"
"ceil","real","real","scalar","true","Round up to nearest integer"
"ceil","smallint","smallint","scalar","true","Round up to nearest integer"
"ceil","tinyint","tinyint","scalar","true","Round up to nearest integer"
"ceiling","bigint","bigint","scalar","true","Round up to nearest integer"
"ceiling","decimal(rp,0)","decimal(p,s)","scalar","true","Round up to nearest integer"
"ceiling","double","double","scalar","true","Round up to nearest integer"
"ceiling","integer","integer","scalar","true","Round up to nearest integer"
"ceiling","real","real","scalar","true","Round up to nearest integer"
"ceiling","smallint","smallint","scalar","true","Round up to nearest integer"
"ceiling","tinyint","tinyint","scalar","true","Round up to nearest integer"
"char2hexint","varchar","varchar","scalar","true","Returns the hexadecimal representation of the UTF-16BE encoding of the argument"
"checksum","varbinary","t","aggregate","true","Checksum of the given values"
"chr","varchar(1)","bigint","scalar","true","Convert Unicode code point to a string"
"classify","bigint","map(bigint,double), classifier(bigint)","scalar","true",""
"classify","varchar","map(bigint,double), classifier(varchar)","scalar","true",""
"codepoint","integer","varchar(1)","scalar","true","Returns Unicode code point of a single character string"
"color","color","double, color, color","scalar","true",""
"color","color","double, double, double, color, color","scalar","true",""
"color","color","varchar(x)","scalar","true",""
"combinations","array(array(t))","array(t), integer","scalar","true","Return n-element subsets from array"
"concat","array(E)","E, array(E)","scalar","true","Concatenates an element to an array"
"concat","array(E)","array(E)","scalar","true","Concatenates given arrays"
"concat","array(E)","array(E), E","scalar","true","Concatenates an array to an element"
"concat","char(u)","char(x), char(y)","scalar","true","Concatenates given character strings"
"concat","varbinary","varbinary","scalar","true","concatenates given varbinary values"
"concat","varchar","varchar","scalar","true","Concatenates given strings"
"concat_ws","varchar","varchar, array(varchar)","scalar","true",""
"concat_ws","varchar","varchar, varchar","scalar","true","Concatenates elements using separator"
"contains","boolean","array(t), t","scalar","true","Determines whether given value exists in the array"
"contains","boolean","varchar, ipaddress","scalar","true","Determines whether given IP address exists in the CIDR"
"contains_sequence","boolean","array(t), array(t)","scalar","true","Determines whether an array contains a sequence, with the values in the exact order"
"convex_hull_agg","geometry","geometry","aggregate","true","Returns a geometry that is the convex hull of all the geometries in the set."
"corr","double","double, double","aggregate","true",""
"corr","real","real, real","aggregate","true",""
"cos","double","double","scalar","true","Cosine"
"cosh","double","double","scalar","true","Hyperbolic cosine"
"cosine_similarity","double","map(varchar,double), map(varchar,double)","scalar","true","Cosine similarity between the given sparse vectors"
"count","bigint","","aggregate","true",""
"count","bigint","t","aggregate","true","Counts the non-null values"
"count_if","bigint","boolean","aggregate","true",""
"covar_pop","double","double, double","aggregate","true",""
"covar_pop","real","real, real","aggregate","true",""
"covar_samp","double","double, double","aggregate","true",""
"covar_samp","real","real, real","aggregate","true",""
"crc32","bigint","varbinary","scalar","true","Compute CRC-32"
"cume_dist","double","","window","true",""
"current_date","date","","scalar","true","Current date"
"current_groups","array(varchar)","","scalar","true","Current groups of current user"
"current_timezone","varchar","","scalar","true","Current time zone"
"date","date","timestamp(p)","scalar","true",""
"date","date","timestamp(p) with time zone","scalar","true",""
"date","date","varchar(x)","scalar","true",""
"date_add","date","varchar(x), bigint, date","scalar","true","Add the specified amount of date to the given date"
"date_add","time(p)","varchar(x), bigint, time(p)","scalar","true","Add the specified amount of time to the given time"
"date_add","time(p) with time zone","varchar(x), bigint, time(p) with time zone","scalar","true","Add the specified amount of time to the given time"
"date_add","timestamp(p)","varchar(x), bigint, timestamp(p)","scalar","true","Add the specified amount of time to the given timestamp"
"date_add","timestamp(p) with time zone","varchar(x), bigint, timestamp(p) with time zone","scalar","true","Add the specified amount of time to the given timestamp"
"date_diff","bigint","varchar(x), date, date","scalar","true","Difference of the given dates in the given unit"
"date_diff","bigint","varchar(x), time(p) with time zone, time(p) with time zone","scalar","true","Difference of the given times in the given unit"
"date_diff","bigint","varchar(x), time(p), time(p)","scalar","true","Difference of the given times in the given unit"
"date_diff","bigint","varchar(x), timestamp(p) with time zone, timestamp(p) with time zone","scalar","true","Difference of the given times in the given unit"
"date_diff","bigint","varchar(x), timestamp(p), timestamp(p)","scalar","true","Difference of the given times in the given unit"
"date_format","varchar","timestamp(p) with time zone, varchar(x)","scalar","true","Formats the given timestamp by the given format"
"date_format","varchar","timestamp(p), varchar(x)","scalar","true","Formats the given timestamp by the given format"
"date_parse","timestamp(3)","varchar(x), varchar(y)","scalar","true",""
"date_trunc","date","varchar(x), date","scalar","true","Truncate to the specified precision in the session timezone"
"date_trunc","time(p)","varchar(x), time(p)","scalar","true","Truncate to the specified precision"
"date_trunc","time(p) with time zone","varchar(x), time(p) with time zone","scalar","true","Truncate to the specified precision"
"date_trunc","timestamp(p)","varchar(x), timestamp(p)","scalar","true","Truncate to the specified precision in the session timezone"
"date_trunc","timestamp(p) with time zone","varchar(x), timestamp(p) with time zone","scalar","true","Truncate to the specified precision"
"day","bigint","date","scalar","true","Day of the month of the given date"
"day","bigint","interval day to second","scalar","true","Day of the month of the given interval"
"day","bigint","timestamp(p)","scalar","true","Day of the month of the given timestamp"
"day","bigint","timestamp(p) with time zone","scalar","true","Day of the month of the given timestamp"
"day_of_month","bigint","date","scalar","true","Day of the month of the given date"
"day_of_month","bigint","interval day to second","scalar","true","Day of the month of the given interval"
"day_of_month","bigint","timestamp(p)","scalar","true","Day of the month of the given timestamp"
"day_of_month","bigint","timestamp(p) with time zone","scalar","true","Day of the month of the given timestamp"
"day_of_week","bigint","date","scalar","true","Day of the week of the given date"
"day_of_week","bigint","timestamp(p)","scalar","true","Day of the week of the given timestamp"
"day_of_week","bigint","timestamp(p) with time zone","scalar","true","Day of the week of the given timestamp"
"day_of_year","bigint","date","scalar","true","Day of the year of the given date"
"day_of_year","bigint","timestamp(p)","scalar","true","Day of the year of the given timestamp"
"day_of_year","bigint","timestamp(p) with time zone","scalar","true","Day of the year of the given timestamp"
"degrees","double","double","scalar","true","Converts an angle in radians to degrees"
"dense_rank","bigint","","window","true",""
"dow","bigint","date","scalar","true","Day of the week of the given date"
"dow","bigint","timestamp(p)","scalar","true","Day of the week of the given timestamp"
"dow","bigint","timestamp(p) with time zone","scalar","true","Day of the week of the given timestamp"
"doy","bigint","date","scalar","true","Day of the year of the given date"
"doy","bigint","timestamp(p)","scalar","true","Day of the year of the given timestamp"
"doy","bigint","timestamp(p) with time zone","scalar","true","Day of the year of the given timestamp"
"e","double","","scalar","true","Euler's number"
"element_at","V","map(K,V), K","scalar","true","Get value for the given key, or null if it does not exist"
"element_at","e","array(e), bigint","scalar","true","Get element of array at given index"
"empty_approx_set","hyperloglog","","scalar","true","An empty HyperLogLog instance"
"evaluate_classifier_predictions","varchar","bigint, bigint","aggregate","true",""
"evaluate_classifier_predictions","varchar","varchar(x), varchar(y)","aggregate","true",""
"every","boolean","boolean","aggregate","true",""
"exp","double","double","scalar","true","Euler's number raised to the given power"
"features","map(bigint,double)","double","scalar","true",""
"features","map(bigint,double)","double, double","scalar","true",""
"features","map(bigint,double)","double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double, double, double, double, double","scalar","true",""
"features","map(bigint,double)","double, double, double, double, double, double, double, double, double, double","scalar","true",""
"filter","array(t)","array(t), function(t,boolean)","scalar","true","Return array containing elements that match the given predicate"
"first_value","t","t","window","true",""
"flatten","array(E)","array(array(E))","scalar","true","Flattens the given array"
"floor","bigint","bigint","scalar","true","Round down to nearest integer"
"floor","decimal(rp,0)","decimal(p,s)","scalar","true","Round down to nearest integer"
"floor","double","double","scalar","true","Round down to nearest integer"
"floor","integer","integer","scalar","true","Round down to nearest integer"
"floor","real","real","scalar","true","Round down to nearest integer"
"floor","smallint","smallint","scalar","true","Round down to nearest integer"
"floor","tinyint","tinyint","scalar","true","Round down to nearest integer"
"format_datetime","varchar","timestamp(p) with time zone, varchar(x)","scalar","true","Formats the given time by the given format"
"format_datetime","varchar","timestamp(p), varchar(x)","scalar","true","Formats the given time by the given format"
"format_number","varchar","bigint","scalar","true","Formats large number using a unit symbol"
"format_number","varchar","double","scalar","true","Formats large number using a unit symbol"
"from_base","bigint","varchar(x), bigint","scalar","true","Convert a string in the given base to a number"
"from_base32","varbinary","varbinary","scalar","true","Decode base32 encoded binary data"
"from_base32","varbinary","varchar(x)","scalar","true","Decode base32 encoded binary data"
"from_base64","varbinary","varbinary","scalar","true","Decode base64 encoded binary data"
"from_base64","varbinary","varchar(x)","scalar","true","Decode base64 encoded binary data"
"from_base64url","varbinary","varbinary","scalar","true","Decode URL safe base64 encoded binary data"
"from_base64url","varbinary","varchar(x)","scalar","true","Decode URL safe base64 encoded binary data"
"from_big_endian_32","integer","varbinary","scalar","true","Decode bigint value from a 32-bit 2's complement big endian varbinary"
"from_big_endian_64","bigint","varbinary","scalar","true","Decode bigint value from a 64-bit 2's complement big endian varbinary"
"from_encoded_polyline","geometry","varchar","scalar","true","Decodes a polyline to a linestring"
"from_geojson_geometry","sphericalgeography","varchar","scalar","true","Returns a spherical geography from a GeoJSON string"
"from_hex","varbinary","varbinary","scalar","true","Decode hex encoded binary data"
"from_hex","varbinary","varchar(x)","scalar","true","Decode hex encoded binary data"
"from_ieee754_32","real","varbinary","scalar","true","Decode the 32-bit big-endian binary in IEEE 754 single-precision floating-point format"
"from_ieee754_64","double","varbinary","scalar","true","Decode the 64-bit big-endian binary in IEEE 754 double-precision floating-point format"
"from_iso8601_date","date","varchar(x)","scalar","true",""
"from_iso8601_timestamp","timestamp(3) with time zone","varchar(x)","scalar","true",""
"from_iso8601_timestamp_nanos","timestamp(9) with time zone","varchar(x)","scalar","true",""
"from_unixtime","timestamp(3) with time zone","double","scalar","true",""
"from_unixtime","timestamp(3) with time zone","double, bigint, bigint","scalar","true",""
"from_unixtime","timestamp(3) with time zone","double, varchar(x)","scalar","true",""
"from_unixtime_nanos","timestamp(9) with time zone","bigint","scalar","true",""
"from_unixtime_nanos","timestamp(9) with time zone","decimal(p,s)","scalar","true",""
"from_utf8","varchar","varbinary","scalar","true","Decodes the UTF-8 encoded string"
"from_utf8","varchar","varbinary, bigint","scalar","true","Decodes the UTF-8 encoded string"
"from_utf8","varchar","varbinary, varchar(x)","scalar","true","Decodes the UTF-8 encoded string"
"geometric_mean","double","bigint","aggregate","true",""
"geometric_mean","double","double","aggregate","true",""
"geometric_mean","real","real","aggregate","true",""
"geometry_from_hadoop_shape","geometry","varbinary","scalar","true","Returns a Geometry type object from Spatial Framework for Hadoop representation"
"geometry_invalid_reason","varchar","geometry","scalar","true","Returns the reason for why the input geometry is not valid. Returns null if the input is valid."
"geometry_nearest_points","row(geometry,geometry)","geometry, geometry","scalar","true","Return the closest points on the two geometries"
"geometry_to_bing_tiles","array(bingtile)","geometry, integer","scalar","true","Given a geometry and a zoom level, returns the minimum set of Bing tiles that fully covers that geometry"
"geometry_union","geometry","array(geometry)","scalar","true","Returns a geometry that represents the point set union of the input geometries."
"geometry_union_agg","geometry","geometry","aggregate","true","Returns a geometry that represents the point set union of the input geometries."
"great_circle_distance","double","double, double, double, double","scalar","true","Calculates the great-circle distance between two points on the Earth's surface in kilometers"
"greatest","E","E","scalar","true","Get the largest of the given values"
